Accession_Number	Clonal_Complex	Country_Isolation	Country_Patient_Birth	Gnumber	Host	Map	SIB_Number	Sample.included.in.Loiseau.et.al..2020	Sequence_origin
ERR1815542	eu2	South Africa		G36578	Syncerus caffer	1	SB0121	1	public repositories
ERR1815545	eu2	South Africa		G36581	Syncerus caffer	1	SB0121	1	public repositories
ERR1815546	eu2	South Africa		G36582	Syncerus caffer	1	SB0121	1	public repositories
ERR1815547	eu2	South Africa		G36583	Syncerus caffer	1	SB0121	1	public repositories
ERR1815549	eu2	South Africa		G36585	Panthera leo	1	SB0121	1	public repositories
ERR2516545	eu2	Netherlands		G36703		0	New pattern	1	public repositories
ERR2199797	eu2	Germany		G36704		0	SB0265	1	public repositories
ERR2516207	eu2	Belgium		G36741		0	New pattern	1	public repositories
ERR2516335	eu2	Belgium		G36743		0	SB0265	1	public repositories
ERR2517408	eu2	Netherlands		G36750		0	SB2179	1	public repositories
ERR2517616	eu2	Netherlands		G36752		0	SB1947	1	public repositories
ERR2517518	eu2	Netherlands		G36753		0	SB0121	1	public repositories
ERR2517443	eu2	Netherlands		G36754		0	SB0121	1	public repositories
ERR2517349	eu2	Netherlands		G36755		0	New pattern	1	public repositories
ERR2517523	eu2	Netherlands		G36756		0	SB0121	1	public repositories
ERR2517227	eu2	Netherlands		G36757		0	SB0121	1	public repositories
ERR2515455	eu2	South Africa		G36758		0	SB0121	1	public repositories
ERR2815614	eu2	Germany		G36797	cattle	0	SB0944	0	public repositories
ERR2815608	eu2	Germany		G36803	cattle	0	SB1275	0	public repositories
ERR2815606	eu2	Germany		G36805	cattle	0	SB0121	0	public repositories
ERR2815605	eu2	Germany		G36806	wild boar	0	SB0295	0	public repositories
ERR2815604	eu2	Germany		G36807	wild boar	0	SB0295	0	public repositories
ERR2815601	eu2	Germany		G36810	pig	0	SB1021	0	public repositories
ERR2815600	eu2	Germany		G36811	pig	0	SB1021	0	public repositories
ERR2815537	eu2	Germany		G36871	cattle	0	SB0121	0	public repositories
ERR2815511	eu2	Germany		G36893	cat	0	SB1021	0	public repositories
ERR2815509	eu2	Germany		G36895	cattle	0	SB0121	0	public repositories
ERR2815508	eu2	Germany		G36896	cattle	0	SB0121	0	public repositories
ERR2815507	eu2	Germany		G36897	zebu	0	SB1021	0	public repositories
SRR1791708	eu2	USA		G36915	Cattle	1	SB0265	1	public repositories
SRR1791722	eu2	Mexico		G36929	Cattle	1	SB0121	1	public repositories
SRR1791736	eu2	USA		G36943	Cattle	1	SB0121	1	public repositories
SRR1791793	eu2	USA		G37000	Cattle	1	SB0121	1	public repositories
SRR1791797	eu2	Mexico		G37004	Cattle	1	SB0121	1	public repositories
SRR1791802	eu2	Mexico		G37009	Cattle	1	SB0121	1	public repositories
SRR1791804	eu2	Mexico		G37011	Cattle	1	SB0121	1	public repositories
SRR1791824	eu2	Mexico		G37031	Cattle	1	SB0121	1	public repositories
SRR1791832	eu2	USA		G37039	Cervid	1	SB0265	1	public repositories
SRR1791841	eu2	USA		G37048	Cattle	1	SB0121	1	public repositories
SRR1791866	eu2	USA		G37073	Cattle	1	SB1345	1	public repositories
SRR1791876	eu2	USA		G37083	Cattle	1	SB1345	1	public repositories
SRR1791880	eu2	USA		G37087	Cattle	1	SB1345	1	public repositories
SRR1791891	eu2	Mexico		G37098	Cattle	1	SB0121	1	public repositories
SRR1791909	eu2	Mexico		G37116	Cattle	1	SB0121	1	public repositories
SRR1791950	eu2	USA		G37157	Cervid	1	SB0121	1	public repositories
SRR1791959	eu2	Mexico		G37166	Cattle	1	SB0121	1	public repositories
SRR1791960	eu2	Mexico		G37167	Cattle	1	SB0121	1	public repositories
SRR1791969	eu2	Mexico		G37176	Cattle	1	SB0121	1	public repositories
SRR1792002	eu2	USA		G37209	Cattle	1	SB0265	1	public repositories
SRR1792005	eu2	Mexico		G37212	Cattle	1	SB0121	1	public repositories
SRR1792027	eu2	Mexico		G37234	Cattle	1	SB0121	1	public repositories
SRR1792041	eu2	Mexico		G37248	Cattle	1	SB0121	1	public repositories
SRR1792068	eu2	USA		G37275	Cattle	1	SB0152	1	public repositories
SRR1792073	eu2	Mexico		G37280	Cattle	1	SB0152	1	public repositories
SRR1792110	eu2	USA		G37317	Cattle	1	SB0121	1	public repositories
SRR1792118	eu2	Mexico		G37325	Cattle	1	SB0121	1	public repositories
SRR1792122	eu2	USA		G37329	Cattle	1	SB0121	1	public repositories
SRR1792155	eu2	Mexico		G37362	Cattle	1	SB0121	1	public repositories
SRR1792171	eu2	Mexico		G37378	Cattle	1	SB0121	1	public repositories
SRR1792193	eu2	USA		G37400	Cattle	1	SB0121	1	public repositories
SRR1792204	eu2	USA		G37411	Cattle	1	SB0121	1	public repositories
SRR1792245	eu2	Mexico		G37452	Cattle	1	SB0121	1	public repositories
SRR1792410	eu2	Mexico		G37617	Cattle	1	SB0121	1	public repositories
SRR1792445	eu2	Mexico		G37652	Cattle	1	SB0121	1	public repositories
SRR1792449	eu2	Mexico		G37656	Cattle	1	SB0121	1	public repositories
SRR1792477	eu2	USA		G37684	Cattle	1	SB0121	1	public repositories
SRR1792490	eu2	USA		G37697	Cattle	1	SB0121	1	public repositories
SRR1792491	eu2	USA		G37698	Cattle	1	SB0121	1	public repositories
SRR1792502	eu2	USA		G37709	Cattle	1	SB0121	1	public repositories
SRR6865435	eu2	Brazil		G38457	Lama glama	1	SB0295	1	public repositories
SRR7236129	eu2	Mexico		G41192	Bos taurus	1	SB0121	1	public repositories
SRR7236131	eu2	Mexico		G41194	Bos taurus	1	SB0152	1	public repositories
SRR7236145	eu2	Mexico		G41208	Bos taurus	1	SB0121	1	public repositories
SRR7236149	eu2	Mexico		G41212	Bos taurus	1	SB0121	1	public repositories
SRR7236192	eu2	Mexico		G41255	Bos taurus	1	SB0295	1	public repositories
SRR7236193	eu2	Mexico		G41256	Bos taurus	1	New pattern	1	public repositories
SRR7236231	eu2	Mexico		G41294	Bos taurus	1	SB0121	1	public repositories
SRR7236232	eu2	Mexico		G41295	Bos taurus	1	SB0121	1	public repositories
SRR7236253	eu2	Mexico		G41316	Bos taurus	1	SB0121	1	public repositories
SRR7236264	eu2	Mexico		G41327	Bos taurus	1	SB0121	1	public repositories
SRR7236269	eu2	Mexico		G41332	Bos taurus	1	SB0121	1	public repositories
SRR7236344	eu2	Mexico		G41407	Bos taurus	1	SB0121	1	public repositories
SRR7236345	eu2	Mexico		G41408	Bos taurus	1	SB0121	1	public repositories
SRR7236378	eu2	Mexico		G41441	Bos taurus	1	SB0121	1	public repositories
SRR7236380	eu2	Mexico		G41443	Bos taurus	1	SB0121	1	public repositories
SRR7236387	eu2	Mexico		G41450	Bos taurus	1	SB0121	1	public repositories
ERR2851361	eu2	Lebanon	Lebanon	G42136	Human	1	SB0121	1	public repositories
SRR7851300	eu2	France		G47573		1	SB0837	0	public repositories
SRR7851301	eu2	France		G47574		1	SB0339	0	public repositories
SRR7851303	eu2	France		G47576		1	SB0152	0	public repositories
SRR7851308	eu2	France		G47581		1	SB0121	0	public repositories
SRR7851310	eu2	France		G47583		1	SB0999	0	public repositories
SRR7851318	eu2	France		G47591		1	SB0121	0	public repositories
SRR7851319	eu2	France		G47592		1	SB0121	0	public repositories
SRR7851332	eu2	France		G47605		1	SB0121	0	public repositories
SRR7851335	eu2	France		G47608		1	SB0121	0	public repositories
SRR7851343	eu2	France		G47616		1	SB0339	0	public repositories
SRR7851349	eu2	France		G47622		1	SB0121	0	public repositories
SRR7851357	eu2	France		G47630		1	SB0121	0	public repositories
SRR7851358	eu2	France		G47631		1	SB0121	0	public repositories
SRR7851363	eu2	France		G47636		1	SB0121	0	public repositories
SRR7851380	eu2	France		G47653		1	SB0999	0	public repositories
SRR7851382	eu2	France		G47655		1	SB0295	0	public repositories
SRR7851303	eu2	France		G49367		1	SB0152	0	public repositories
SRR7851300	eu2	France		G49368		1	SB0837	0	public repositories
SRR7851301	eu2	France		G49369		1	SB0339	0	public repositories
SRR9850824	eu2	Brazil		G49370	captive capybara	0	SB0295	0	public repositories
SRR9850830	eu2	Brazil		G49371	captive Lama glama	0	SB0295	0	public repositories
SRR7693912	eu2	Brazil		G66750	captive European Bison	0	SB0121	0	public repositories
ERR1082113	L6	Ghana		G08466		NA		0	public repositories
ERR015582	orygis			G00130	orygis	0	SB0422	0	public repositories
ERR2659153	orygis	Australia	India	G01224	Human	1	SB0422	0	public repositories
ERR2659154	orygis	Australia	India	G01225	Human	1	SB0422	0	public repositories
ERR2659155	orygis	Australia	India	G01226	Human	1	SB0422	0	public repositories
ERR2659156	orygis	Australia	India	G01227	Human	1	SB0422	0	public repositories
ERR234675	orygis	Russia		G04149		0	SB0422	0	public repositories
ERR234676	orygis	Russia		G04150		0	New pattern	0	public repositories
ERR234682	orygis	Russia		G04151		0	New pattern	0	public repositories
ERR017782	orygis	United Kingdom		G04156		0	SB0422	0	public repositories
SRR2100577	orygis	United Kingdom		G14722		0	SB0422	0	public repositories
SRR2101161	orygis	United Kingdom		G15298		0	SB0422	0	public repositories
SRR2101222	orygis	United Kingdom		G15359		0	New pattern	0	public repositories
SRR2101291	orygis	United Kingdom		G15428		0	SB0422	0	public repositories
SRR2101329	orygis	United Kingdom		G15466		0	SB0422	0	public repositories
SRR5642711	orygis	USA	India	G22513	Human	1	SB0422	0	public repositories
SRR5642712	orygis	USA	India	G22514	Human	1	SB0422	0	public repositories
SRR5642713	orygis	USA	India	G22515	Human	1	SB0422	0	public repositories
SRR5642714	orygis	USA	India	G22516	Human	1	SB0422	0	public repositories
SRR5642715	orygis	USA	India	G22517	Human	1	New pattern	0	public repositories
SRR5642716	orygis	USA	India	G22518	Human	1	SB0422	0	public repositories
SRR5642717	orygis	USA	India	G22519	Human	1	SB0422	0	public repositories
SRR5642718	orygis	USA	India	G22520	Human	1	SB0422	0	public repositories
	orygis	South Africa		G26559	antelope zoo 	0	SB0422	0	newly sequenced
	orygis	Netherlands		G26560	Oryx zoo	0	SB0422	0	newly sequenced
	orygis	Netherlands		G26561	antilope zoo	0	SB0422	0	newly sequenced
	orygis			G26562		0	SB0422	0	newly sequenced
	orygis	South Asia		G26563	human 	0	SB0422	0	newly sequenced
	orygis	Netherlands		G26564	waterbuck zoo 	0	SB0422	0	newly sequenced
	orygis	South Asia		G26565	human 	0	SB0422	0	newly sequenced
	orygis	South Asia		G26566	human 	0	SB0422	0	newly sequenced
	orygis	Southeast Asia		G26567	human 	0	New pattern	0	newly sequenced
	orygis	South Asia		G26568	human 	0	SB0422	0	newly sequenced
	orygis	South Asia		G26569	human 	0	SB0422	0	newly sequenced
	orygis			G26570		0	SB0422	0	newly sequenced
	orygis	South Asia		G26571	human	0	SB0422	0	newly sequenced
	orygis			G26572		0	New pattern	0	newly sequenced
SRR6797355	orygis	Bangladesh		G28351		0	SB0422	0	public repositories
SRR6045015	orygis	United Kingdom		G36763		0	SB0422	0	public repositories
ERR2512389	orygis	United Kingdom		G36764		0	SB0422	0	public repositories
ERR2512788	orygis	United Kingdom		G36765		0	SB0422	0	public repositories
ERR2512826	orygis	United Kingdom		G36766		0	SB0422	0	public repositories
ERR2512859	orygis	United Kingdom		G36767		0	New pattern	0	public repositories
ERR2512942	orygis	United Kingdom		G36768		0	New pattern	0	public repositories
SRR6044858	orygis	United Kingdom		G36769		0	New pattern	0	public repositories
SRR6046695	orygis	United Kingdom		G36770		0	SB0422	0	public repositories
ERR2513195	orygis	United Kingdom		G36771		0	SB0422	0	public repositories
SRR6045425	orygis	United Kingdom		G36772		0	New pattern	0	public repositories
ERR2513625	orygis	United Kingdom		G36773		0	SB0422	0	public repositories
ERR2513671	orygis	United Kingdom		G36774		0	New pattern	0	public repositories
SRR3675498	orygis	United Kingdom		G36775		0	New pattern	0	public repositories
ERR2514172	orygis	United Kingdom		G36776		0	SB0422	0	public repositories
SRR6045962	orygis	United Kingdom		G36778		0	SB0422	0	public repositories
SRR6044939	orygis	United Kingdom		G36779		0	SB0422	0	public repositories
SRR6045301	orygis	United Kingdom		G36781		0	SB0422	0	public repositories
ERR2514578	orygis	United Kingdom		G36782		0	SB0422	0	public repositories
SRR6046725	orygis	United Kingdom		G36783		0	SB0422	0	public repositories
ERR2514738	orygis	United Kingdom		G36784		0	SB0422	0	public repositories
ERR2514957	orygis	United Kingdom		G36785		0	SB0422	0	public repositories
SRR6046235	orygis	United Kingdom		G36786		0	SB0422	0	public repositories
ERR2515051	orygis	United Kingdom		G36787		0	New pattern	0	public repositories
ERR2512533	orygis	United Kingdom		G36788		0	New pattern	0	public repositories
ERR2199741	orygis	Germany		G36789		0	New pattern	0	public repositories
ERR2199829	orygis	Germany		G36790		0	New pattern	0	public repositories
ERR2200114	orygis	Germany		G36791		0	SB0422	0	public repositories
ERR2517102	orygis	United Kingdom		G36792		0	SB0422	0	public repositories
ERR2517593	orygis	Netherlands		G36793		0	New pattern	0	public repositories
SRR9157804	orygis	India		G49362	Bos taurus	1	SB0422	0	public repositories
SRR10251193	orygis	India		G49372	Bos taurus	1	New pattern	0	public repositories
SRR10251194	orygis	India		G49373	Bos taurus	1	New pattern	0	public repositories
SRR10251195	orygis	India		G49374	Deer	1	New pattern	0	public repositories
SRR10251196	orygis	India		G49375	Deer	1	New pattern	0	public repositories
SRR10251197	orygis	India		G49376	Bos taurus	1	SB0422	0	public repositories
SRR10251198	orygis	India		G49377	Deer	1	New pattern	0	public repositories
SRR10251199	orygis	India		G49378	Deer	1	New pattern	0	public repositories
SRR10251200	orygis	India		G49379	Bos taurus	1	SB0422	0	public repositories
SRR10251201	orygis	India		G49380	Bos taurus	1	New pattern	0	public repositories
SRR10251185	orygis	India		G49381	Bos taurus	1	SB0422	0	public repositories
SRR10251186	orygis	India		G49382	Bos taurus	1	New pattern	0	public repositories
SRR10251187	orygis	India		G49383	Bos taurus	1	New pattern	0	public repositories
SRR10251188	orygis	India		G49384	Bos taurus	1	New pattern	0	public repositories
SRR10251189	orygis	India		G49385	Bos taurus	1	SB0422	0	public repositories
SRR10251190	orygis	India		G49386	Bos taurus	1	SB0422	0	public repositories
SRR10251191	orygis	India		G49387	Bos taurus	1	SB0422	0	public repositories
SRR10251192	orygis	India		G49388	Bos taurus	1	SB0422	0	public repositories
SRR10251202	orygis	India		G49389	Deer	1	New pattern	0	public repositories
SRR10251203	orygis	India		G49390	Bos taurus	1	New pattern	0	public repositories
SRR10321143	orygis	India		G49401	Human	1	SB0422	0	public repositories
SRR10321149	orygis	India		G49402	Human	1	SB0422	0	public repositories
SRR10321128	orygis	India		G49403	Human	1	SB0422	0	public repositories
SRR10321130	orygis	India		G49404	Human	1	SB0422	0	public repositories
SRR10321134	orygis	India		G49405	Human	1	SB0422	0	public repositories
ERR161044	PZA_sus	Malawi		G04143		0	New pattern	1	public repositories
ERR181980	PZA_sus	Malawi		G04145		0	SB2190	1	public repositories
ERR212091	PZA_sus	Malawi		G04147	Human	1	SB0425	1	public repositories
ERR2815611	PZA_sus	Germany		G36800	antelope	0	SB1898	0	public repositories
SRR8065072	PZA_sus	Uganda		G41493	Bos taurus	1	SB1405	1	public repositories
SRR8065075	PZA_sus	Uganda		G41496	Bos taurus	1	SB1406	1	public repositories
SRR8065076	PZA_sus	Uganda		G41497	Bos taurus	1	SB1405	1	public repositories
SRR8065077	PZA_sus	Uganda		G41498	Bos taurus	1	SB1406	1	public repositories
SRR8065083	PZA_sus	Uganda		G41504	Bos taurus	1	SB1405	1	public repositories
ERR3458083	unk2	Ethiopia		G00208	Cattle	1	SB0134	1	public repositories
SAMN03023955	unk2			G01032	BCG	0	New pattern	1	public repositories
SRS897753	unk2	United Kingdom		G01033	BCG	0	SB0120	1	public repositories
SRS897754	unk2			G01034	BCG	0	SB0120	1	public repositories
SAMN03023958	unk2			G01035	BCG	0	SB0120	1	public repositories
SAMN03023953	unk2			G01036	BCG	0	SB0120	1	public repositories
SAMN03023954	unk2			G01037	BCG	0	SB0120	1	public repositories
SAMN03023952	unk2			G01038	BCG	0	SB0120	1	public repositories
SAMN03023966	unk2			G01039	BCG	0	SB0120	1	public repositories
SAMN03023960	unk2			G01040	BCG	0	SB0120	1	public repositories
SAMN03023957	unk2			G01041	BCG	0	SB0120	1	public repositories
SRS897671	unk2			G01551	BCG	0	SB0120	1	public repositories
ERS2573046	unk2	Switzerland	Switzerland	G02545	Human	0	SB0120	1	public repositories
SRR5486087	unk2	Spain		G36378	bos taurus	1	SB0120	1	public repositories
SRR5486088	unk2	Spain		G36379	bos taurus	1	SB0120	1	public repositories
SRR5486089	unk2	Spain		G36380	bos taurus	1	SB0828	1	public repositories
SRR5486090	unk2	Spain		G36381	bos taurus	1	SB0828	1	public repositories
SRR5486091	unk2	Spain		G36382	bos taurus	1	SB0828	1	public repositories
SRR5486092	unk2	Spain		G36383	bos taurus	1	SB0828	1	public repositories
SRR5486093	unk2	Spain		G36384	bos taurus	1	SB0828	1	public repositories
SRR5486073	unk2	Eritrea		G36385	bos taurus	1	SB0134	1	public repositories
SRR5486074	unk2	Eritrea		G36386	bos taurus	1	SB0120	1	public repositories
SRR5486075	unk2	Eritrea		G36387	bos taurus	1	SB0134	1	public repositories
SRR5486076	unk2	Eritrea		G36388	bos taurus	1	SB0134	1	public repositories
SRR5486077	unk2	Eritrea		G36389	bos taurus	1	SB0120	1	public repositories
SRR5486078	unk2	Eritrea		G36390	bos taurus	1	SB0120	1	public repositories
SRR5486079	unk2	Eritrea		G36391	bos taurus	1	SB0120	1	public repositories
SRR5486080	unk2	Eritrea		G36392	bos taurus	1	SB0948	1	public repositories
SRR5486081	unk2	Eritrea		G36393	bos taurus	1	SB0134	1	public repositories
SRR5486082	unk2	Eritrea		G36394	bos taurus	1	SB0120	1	public repositories
SRR5486083	unk2	Eritrea		G36395	bos taurus	1	SB0120	1	public repositories
SRR5486084	unk2	Eritrea		G36396	bos taurus	1	SB0120	1	public repositories
SRR5486085	unk2	Eritrea		G36397	bos taurus	1	SB0120	1	public repositories
SRR5486086	unk2	Eritrea		G36398	bos taurus	1	SB0120	1	public repositories
SRR5486071	unk2	Ethiopia		G36399	bos taurus	1	SB1517	1	public repositories
SRR5486072	unk2	Ethiopia		G36400	bos taurus	1	SB1517	1	public repositories
ERR2815610	unk2			G36801	BCG	0	SB0120	0	public repositories
ERR2815607	unk2	Germany		G36804	cattle	0	SB0120	0	public repositories
ERR2815602	unk2			G36809	BCG	0	SB0120	0	public repositories
ERR2815506	unk2	Germany		G36898	cattle	0	SB0120	0	public repositories
SRR1792485	unk2	USA		G37692	Cattle	1	SB0120	1	public repositories
SRR5485729	unk2	USA		G37788	Cattle	1	SB0120	1	public repositories
SRR4117155;SRR4199188	unk2	France		G38455	wild boar	1	SB0120	1	public repositories
SRR7131117	unk2	Italy	Italy	G38462	Homo sapiens	0	SB0120	1	public repositories
SRR7131025	unk2	Morocco	Morocco	G38463	Human	1	SB0120	1	public repositories
SRR3085259	unk2	Tunisia		G42039	Human	1	SB0120	1	public repositories
	unk2	Switzerland		G45334	cattle	1	SB0849	0	newly sequenced
	unk2	Switzerland		G45335	cattle	1	SB0120	0	newly sequenced
	unk2	Switzerland		G45336	cattle	1	SB0120	0	newly sequenced
SRR7851302	unk2	France		G47575	cattle	1	SB0134	0	public repositories
SRR7851309	unk2	France		G47582	cattle	1	SB2680	0	public repositories
SRR7851312	unk2	France		G47585	cattle	1	SB0120	0	public repositories
SRR7851313	unk2	France		G47586	cattle	1	SB0948	0	public repositories
SRR7851316	unk2	France		G47589	cattle	1	SB0120	0	public repositories
SRR7851317	unk2	France		G47590	cattle	1	SB0040	0	public repositories
SRR7851321	unk2	France		G47594	cattle	1	SB0120	0	public repositories
SRR7851322	unk2	France		G47595	cattle	1	SB0120	0	public repositories
SRR7851323	unk2	France		G47596	cattle	1	SB0120	0	public repositories
SRR7851325	unk2	France		G47598	cattle	1	SB0927	0	public repositories
SRR7851326	unk2	France		G47599	cattle	1	SB0120	0	public repositories
SRR7851329	unk2	France		G47602	cattle	1	SB0134	0	public repositories
SRR7851330	unk2	France		G47603	cattle	1	SB0120	0	public repositories
SRR7851331	unk2	France		G47604	cattle	1	SB0120	0	public repositories
SRR7851334	unk2	France		G47607	cattle	1	New pattern	0	public repositories
SRR7851342	unk2	France		G47615	cattle	1	SB0120	0	public repositories
SRR7851344	unk2	France		G47617	cattle	1	SB0120	0	public repositories
SRR7851345	unk2	France		G47618	cattle	1	SB0120	0	public repositories
SRR7851346	unk2	France		G47619	cattle	1	SB0120	0	public repositories
SRR7851347	unk2	France		G47620	cattle	1	SB0822	0	public repositories
SRR7851348	unk2	France		G47621	cattle	1	New pattern	0	public repositories
SRR7851350	unk2	France		G47623	cattle	1	SB0120	0	public repositories
SRR7851352	unk2	France		G47625	cattle	1	SB0162	0	public repositories
SRR7851353	unk2	France		G47626	cattle	1	SB0120	0	public repositories
SRR7851355	unk2	France		G47628	cattle	1	SB0828	0	public repositories
SRR7851356	unk2	France		G47629	cattle	1	SB0120	0	public repositories
SRR7851359	unk2	France		G47632	cattle	1	New pattern	0	public repositories
SRR7851360	unk2	France		G47633	cattle	1	SB0120	0	public repositories
SRR7851365	unk2	France		G47638	cattle	1	SB0120	0	public repositories
SRR7851367	unk2	France		G47640	cattle	1	SB0120	0	public repositories
SRR7851368	unk2	France		G47641	cattle	1	New pattern	0	public repositories
SRR7851369	unk2	France		G47642	cattle	1	SB0120	0	public repositories
SRR7851371	unk2	France		G47644	cattle	1	New pattern	0	public repositories
SRR7851374	unk2	France		G47647	cattle	1	SB0120	0	public repositories
SRR7851375	unk2	France		G47648	cattle	1	SB0120	0	public repositories
SRR7851377	unk2	France		G47650	cattle	1	New pattern	0	public repositories
SRR7851381	unk2	France		G47654	cattle	1	SB0120	0	public repositories
SRR4117155	unk2	France		G47677	cattle	1	SB0120	0	public repositories
SRR4199188	unk2	France		G47678	cattle	1	SB0120	0	public repositories
SRR7851302	unk2	France		G49366	cattle	1	SB0134	0	public repositories
SRR10303300	unk2	Kazakhstan		G59919	Human	1	SB0120	0	public repositories
SRR10379919	unk2	Moldova		G59967	Human	1	SB0120	0	public repositories
SRR10430327	unk2	Kazakhstan		G60801	Human	1	SB0120	0	public repositories
	unk2	Turkey		G66326	Human	1	SB0120	0	newly sequenced
ERR4769564	unk2	Ethiopia		G66536	update	0	SB0134	0	public repositories
ERR4769563	unk2	Ethiopia		G66537	update	0	SB0134	0	public repositories
ERR4769562	unk2	Ethiopia		G66538	update	0	SB0134	0	public repositories
ERR4772233	unk2	Ethiopia		G66546	update	0	SB0134	0	public repositories
ERR4772230	unk2	Ethiopia		G66711	update	1	SB0134	0	public repositories
ERR4772226	unk2	Ethiopia		G66715	update	1	SB0134	0	public repositories
ERR4772225	unk2	Ethiopia		G66716	update	1	SB0134	0	public repositories
ERR4772219	unk2	Ethiopia		G66722	update	1	SB0134	0	public repositories
ERR4772218	unk2	Ethiopia		G66723	update	1	SB0134	0	public repositories
ERR4772212	unk2	Ethiopia		G66729	update	1	SB0134	0	public repositories
ERR4772211	unk2	Ethiopia		G66730	update	1	SB0134	0	public repositories
ERR4772210	unk2	Ethiopia		G66731	update	1	SB0134	0	public repositories
ERR4772206	unk2	Ethiopia		G66734	update	1	SB0134	0	public repositories
ERR4772205	unk2	Ethiopia		G66735	update	1	SB0134	0	public repositories
	unk2	Italy		G66752	cattle	1	SB0841	0	previously unpublished
	unk2	Italy		G66753	cattle	1	SB0120	0	previously unpublished
ERR229952	unk3	Russia		G04148		0	SB1919	1	public repositories
ERR551252	unk3	Germany		G13403	Human	0	SB0288	1	public repositories
ERR2199785	unk3	Germany		G36744		0	SB0120	1	public repositories
ERR2200072	unk3	Germany		G36745		0	SB0120	1	public repositories
ERR2517425	unk3	Netherlands		G36751		0	SB0288	1	public repositories
ERR2815603	unk3	Germany		G36808	cat	0	SB0288	0	public repositories
ERR2851358	unk3	Lebanon	Lebanon	G42133	Human	1	SB1215	1	public repositories
	unk3	Turkey		G66308	Human	1	SB0288	0	newly sequenced
	unk3	Turkey		G66310	Human	1	SB0288	0	newly sequenced
	unk3	Turkey		G66312	Human	1	SB0288	0	newly sequenced
	unk3	Turkey		G66314	Human	1	SB2466	0	newly sequenced
	unk3	Turkey		G66315	Human	1	SB0288	0	newly sequenced
	unk3	Turkey		G66316	Human	1	New pattern	0	newly sequenced
	unk3	Turkey		G66317	Human	1	SB0288	0	newly sequenced
	unk3	Turkey		G66318	Human	1	SB0288	0	newly sequenced
	unk3	Turkey		G66319	Human	1	SB2509	0	newly sequenced
	unk3	Turkey		G66322	Human	1	New pattern	0	newly sequenced
	unk3	Turkey		G66324	Human	1	SB0120	0	newly sequenced
	unk3	Turkey		G66325	Human	1	SB0120	0	newly sequenced
	unk3	Turkey		G66327	Human	1	SB0288	0	newly sequenced
	unk3	Turkey		G66328	Human	1	New pattern	0	newly sequenced
	unk3	Turkey		G66329	Human	1	New pattern	0	newly sequenced
ERR550755	unk4	Germany		G13253		0	SB0871	1	public repositories
ERR551009	unk4	Germany		G13329	Human	0	New pattern	1	public repositories
ERR551191	unk4	Germany		G13389	Human	0	SB0120	1	public repositories
ERR551917	unk4	Germany		G13622	Human	0	New pattern	1	public repositories
ERR2815613	unk4	Germany		G36798	cattle	0	SB0120	0	public repositories
ERR2815612	unk4	Germany		G36799	cattle	0	SB0120	0	public repositories
ERR2815536	unk4	Germany		G36872	cattle	0	SB0120	0	public repositories
ERR2815535	unk4	Germany		G36873	cattle	0	SB0120	0	public repositories
ERR2815520	unk4	Germany		G36886	cattle	0	SB0120	0	public repositories
ERR2815519	unk4	Germany		G36887	pig	0	SB0120	0	public repositories
ERR2815512	unk4	Germany		G36892	pig	0	SB0120	0	public repositories
ERR2815510	unk4	Germany		G36894	cattle	0	SB0120	0	public repositories
SRR7851362	unk4	France		G47635	cattle	1	SB0829	0	public repositories
SRR7851366	unk4	France		G47639	cattle	1	SB0120	0	public repositories
SRR7851373	unk4	France		G47646	cattle	1	SB0121	0	public repositories
ERR3445485	unk4	Brazil		G47656	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445486	unk4	Brazil		G47657	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445487	unk4	Brazil		G47658	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445488	unk4	Brazil		G47659	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445489	unk4	Brazil		G47660	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445490	unk4	Brazil		G47661	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445491	unk4	Brazil		G47662	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445492	unk4	Brazil		G47663	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445494	unk4	Brazil		G47665	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445495	unk4	Brazil		G47666	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445496	unk4	Brazil		G47667	cattle/Buffalo	1	SB0885	0	public repositories
ERR3445497	unk4	Brazil		G47668	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445498	unk4	Brazil		G47669	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445499	unk4	Brazil		G47670	cattle/Buffalo	1	SB0822	0	public repositories
ERR3445500	unk4	Brazil		G47671	cattle/Buffalo	1	SB0822	0	public repositories
ERR3906063	unk4	Brazil		G47676	cattle/Buffalo	1	SB0822	0	public repositories
ERR2512839	unk5	United Kingdom		G36713	Human	0	New pattern	1	public repositories
SRR8064853	unk5	Zambia		G41509	Bos taurus	1	SB0120	1	public repositories
SRR8064854	unk5	Zambia		G41510	Bos taurus	1	SB0120	1	public repositories
SRR8064855	unk5	Zambia		G41511	Bos taurus	1	SB0120	1	public repositories
SRR8064856	unk5	Zambia		G41512	Bos taurus	1	SB0120	1	public repositories
